Profesional,Categoría CIE-10,Sub-Motivo (etiqueta usuario),Motivo Técnico (base de datos)
Adolfo Henríquez Valenzuela,Ansiedad nervios y estrés,Estrés laboral o escolar / burnout,Estrés / Estrés Laboral / Burnout
Adolfo Henríquez Valenzuela,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Adolfo Henríquez Valenzuela,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Adolfo Henríquez Valenzuela,Autoestima habilidades y crecimiento personal,Habilidades sociales / timidez marcada,Crecimiento Personal / Desarrollo de Habilidades Sociales
Adolfo Henríquez Valenzuela,Autoestima habilidades y crecimiento personal,Me cuesta poner límites / decir que no,Crecimiento Personal / Desarrollo de Habilidades Sociales
Adolfo Henríquez Valenzuela,Autoestima habilidades y crecimiento personal,Orientación vocacional o académica,Orientación Vocacional / Académica
Adolfo Henríquez Valenzuela,Duelo separaciones y cambios de vida,"Migración mudanza o cambio de etapa (jubilación, maternidad/paternidad etc.)",Transiciones Vitales (mudanzas migración jubilación maternidad/paternidad)
Adolfo Henríquez Valenzuela,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Adolfo Henríquez Valenzuela,Evaluación psicológica / informe / orientación,Orientación vocacional.,Orientación Vocacional / Académica
Adolfo Henríquez Valenzuela,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Adolfo Henríquez Valenzuela,Relaciones familia pareja y crianza,Aislamiento social / falta de red de apoyo,Crecimiento Personal / Desarrollo de Habilidades Sociales
Adolfo Henríquez Valenzuela,Sueño y malestar físico ligado a lo emocional,Dolor o molestias físicas asociadas al estrés,Estrés / Estrés Laboral / Burnout
Adolfo Henríquez Valenzuela,Sueño y malestar físico ligado a lo emocional,Síntomas físicos sin causa clara (digestivo mareos tensión),Ansiedad Generalizada
Adolfo Henríquez Valenzuela,Ánimo bajo desmotivación y cambios de humor,Desmotivación / falta de energía,Desmotivación / falta de energía
Alejandro Gunckel Barría,Alimentación y relación con la comida,Restricción alimentaria / miedo a subir de peso,Anorexia Nerviosa
Alejandro Gunckel Barría,Alimentación y relación con la comida,Vómitos/laxantes/compensaciones,Bulimia Nerviosa
Alejandro Gunckel Barría,Ansiedad nervios y estrés,Crisis de pánico / crisis de angustia,Ataques de Pánico / Crisis de Angustia
Alejandro Gunckel Barría,Ansiedad nervios y estrés,Estrés laboral o escolar / burnout,Estrés / Estrés Laboral / Burnout
Alejandro Gunckel Barría,Ansiedad nervios y estrés,Miedo a ser juzgado/a (ansiedad social),Fobias Específicas (claustrofobia aracnofobia agorafobia fobia social)
Alejandro Gunckel Barría,Ansiedad nervios y estrés,Miedos y evitación (lugares salir transporte etc.),Fobias Específicas (claustrofobia aracnofobia agorafobia fobia social)
Alejandro Gunckel Barría,Ansiedad nervios y estrés,Pensamientos repetitivos y rituales (orden chequeos limpieza),Trastorno Obsesivo Compulsivo (TOC)
Alejandro Gunckel Barría,Ansiedad nervios y estrés,Preocupación constante / no puedo apagar la mente,Ansiedad Generalizada
Alejandro Gunckel Barría,Ansiedad nervios y estrés,Síntomas físicos por nervios (palpitaciones tensión mareos),Ansiedad Generalizada
Alejandro Gunckel Barría,Atención aprendizaje y neurodesarrollo,Dificultad para concentrarme / distraibilidad,TDAH (Niños Adolescentes Adultos)
Alejandro Gunckel Barría,Atención aprendizaje y neurodesarrollo,Dificultades de aprendizaje (lectura/escritura/matemática),Dificultades de Aprendizaje
Alejandro Gunckel Barría,Atención aprendizaje y neurodesarrollo,Dificultades escolares (rendimiento o adaptación),Dificultades de Aprendizaje
Alejandro Gunckel Barría,Atención aprendizaje y neurodesarrollo,Dificultades sociales o sensoriales desde siempre,Trastorno del Espectro Autista (TEA) - nivel leve
Alejandro Gunckel Barría,Atención aprendizaje y neurodesarrollo,Problemas de organización y procrastinación,TDAH (Niños Adolescentes Adultos)
Alejandro Gunckel Barría,Autoestima habilidades y crecimiento personal,Autoestima baja / inseguridad personal,Baja Autoestima / Inseguridad Personal
Alejandro Gunckel Barría,Duelo separaciones y cambios de vida,Duelo por fallecimiento o pérdidas,Duelo Normal / Complicado
Alejandro Gunckel Barría,Duelo separaciones y cambios de vida,"Migración mudanza o cambio de etapa (jubilación, maternidad/paternidad etc.)",Transiciones Vitales (mudanzas migración jubilación maternidad/paternidad)
Alejandro Gunckel Barría,Duelo separaciones y cambios de vida,Separación o ruptura amorosa,Separaciones y Rupturas
Alejandro Gunckel Barría,Evaluación psicológica / informe / orientación,Evaluación clínica inicial.,Evaluación psicológica / informe / orientación
Alejandro Gunckel Barría,Evaluación psicológica / informe / orientación,Psicoeducación y plan de apoyo (sin psicoterapia continua).​,Evaluación psicológica / informe / orientación
Alejandro Gunckel Barría,Experiencias difíciles trauma y violencia,Abuso sexual (actual o pasado),Abuso Sexual / Abusos en la Infancia
Alejandro Gunckel Barría,Experiencias difíciles trauma y violencia,Dificultad para adaptarme después de un evento,Traumas Psicológicos / Pérdidas Traumáticas
Alejandro Gunckel Barría,Experiencias difíciles trauma y violencia,Evito lugares/personas por algo que pasó,Trastorno de Estrés Postraumático (TEPT)
Alejandro Gunckel Barría,Experiencias difíciles trauma y violencia,Maltrato psicológico o físico,Maltrato Psicológico / Físico
Alejandro Gunckel Barría,Experiencias difíciles trauma y violencia,Me siento en alerta o inseguro/a todo el tiempo,Trastorno de Estrés Postraumático (TEPT)
